tiempo,yaw1,pitch1,roll1,yaw2,pitch2,roll2,yaw3,pitch3,roll3,yaw4,pitch4,roll4,yaw5,pitch5,roll5,yaw6,pitch6,roll6,yaw7,pitch7,roll7
47.591,0.04,0.01,0.05, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.602,0.04,0.01,0.05, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.612,0.04,0.01,0.05, 0.06,0.02,0.03, 0.00,0.00,0.00, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.621,0.03,0.01,0.04, 0.06,0.02,0.03, 0.00,0.00,0.00, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.632,0.03,0.01,0.04, 0.06,0.02,0.03, 0.10,0.08,0.03, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.641,0.03,0.01,0.04, 0.06,0.03,0.03, 0.10,0.08,0.03, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.651,0.03,0.01,0.04, 0.06,0.03,0.03, 0.10,0.08,0.03, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
47.662,0.03,0.01,0.04, 0.06,0.03,0.03, 0.10,0.08,0.03, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.01,0.01,0.10, 0.00,0.00,0.00
47.671,0.03,0.01,0.04, 0.06,0.03,0.03, 0.10,0.08,0.03, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.681,0.03,0.01,0.04, 0.06,0.03,0.03, 0.09,0.08,0.02, 0.03,0.01,-0.01, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.69,0.03,0.01,0.04, 0.06,0.03,0.03, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.701,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.711,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.72,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.731,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.741,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.75,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.761,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.77,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.78,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.08,0.02, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.791,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.8,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.81,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.821,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.83,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.84,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.01,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.849,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.86,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.87,0.03,0.01,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.879,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.89,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.9,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.03,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.909,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.02,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.92,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.02,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,0.00,0.06
47.929,0.03,0.02,0.04, 0.06,0.03,0.02, 0.09,0.09,0.03, 0.03,0.02,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,-0.01,0.05
47.94,0.03,0.02,0.04, 0.06,0.04,0.02, 0.09,0.09,0.03, 0.03,0.02,-0.02, 0.00,0.00,0.00, 0.01,0.01,0.10, -0.06,-0.01,0.05
