tiempo,yaw1,pitch1,roll1,yaw2,pitch2,roll2,yaw3,pitch3,roll3,yaw4,pitch4,roll4,yaw5,pitch5,roll5,yaw6,pitch6,roll6,paso,dist
88.446,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.455,0.00,0.00,0.00,0.41,-0.03,-0.60,-0.40,0.03,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
88.464,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.03,0.74,0.00,0.00,0.00,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,4.00
88.474,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.05,-0.13,-0.43,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,4.00
88.483,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.05,-0.13,-0.43,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,4.00
88.493,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.05,-0.13,-0.43,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,4.00
88.502,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,5.00
88.514,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,5.00
88.521,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.01,0.75,0.00,5.00
88.531,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.541,-0.26,0.04,0.28,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.551,-0.26,0.04,0.29,0.41,-0.03,-0.60,-0.40,0.00,0.75,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.56,-0.26,0.04,0.29,0.41,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.57,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.579,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.589,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.598,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.608,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.617,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.04,-0.14,-0.40,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.627,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,4.00
88.636,-0.26,0.04,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.646,-0.26,0.05,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.655,-0.26,0.05,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.665,-0.26,0.05,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.674,-0.26,0.05,0.29,0.39,-0.03,-0.60,-0.39,0.00,0.76,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.38,-0.02,0.77,0.00,5.00
88.685,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.693,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.704,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.713,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,4.00
88.723,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.14,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.732,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.743,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.751,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.39,-0.02,0.78,0.00,5.00
88.762,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.77,-0.26,0.05,0.29,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.781,-0.26,0.04,0.31,0.39,-0.03,-0.61,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.789,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.8,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.01,0.77,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.809,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.819,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.828,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.839,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.847,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.859,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.38,-0.03,0.80,0.00,5.00
88.866,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.35,-0.03,0.80,0.00,5.00
88.877,-0.26,0.04,0.31,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.35,-0.03,0.80,0.00,5.00
88.885,-0.26,0.01,0.33,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.35,-0.03,0.80,0.00,5.00
88.896,-0.26,0.01,0.33,0.39,-0.05,-0.60,-0.38,0.02,0.79,-1.03,-0.12,-0.41,0.00,0.00,0.00,-0.35,-0.03,0.80,0.00,5.00
88.905,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.38,0.02,0.79,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.915,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.38,0.02,0.79,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.926,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.935,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.945,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.954,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.35,-0.03,0.80,0.00,5.00
88.965,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.33,-0.03,0.84,0.00,5.00
88.973,-0.26,0.01,0.33,0.36,-0.04,-0.58,-0.33,0.01,0.81,-1.04,-0.11,-0.39,-1.24,0.03,0.79,-0.33,-0.03,0.84,0.00,5.00
