Tiempo,AnguloRodillaDerecha,AnguloRodillaIzquierda,AngulosPieDerecho,AngulosPieIzquierdo,AngulosTobilloDerecho,AngulosTobilloIzquierdo
16.06,180.0,180.0,0.0,-0.0,90.0,90.0
16.148,180.0,180.0,0.0,-0.0,90.0,90.0
16.236,180.0,180.0,0.0,-0.0,90.0,90.0
16.326,180.0,180.0,0.0,-0.0,90.0,90.0
16.414,180.0,180.0,0.0,-0.0,90.0,90.0
16.502,180.0,180.0,0.0,-0.0,90.0,90.0
16.59,180.0,180.0,0.0,-0.0,90.0,90.0
16.678,180.0,180.0,0.0,-0.0,90.0,90.0
16.768,180.0,180.0,0.0,-0.0,90.0,90.0
16.855999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
16.944000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
17.032,180.0,180.0,0.0,-0.0,90.0,90.0
17.122,180.0,180.0,0.0,-0.0,90.0,90.0
17.21,180.0,180.0,0.0,-0.0,90.0,90.0
17.298,180.0,180.0,0.0,-0.0,90.0,90.0
17.387999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
17.476,180.0,180.0,0.0,-0.0,90.0,90.0
17.566,180.0,180.0,0.0,-0.0,90.0,90.0
17.654,180.0,180.0,0.0,-0.0,90.0,90.0
17.742,180.0,180.0,0.0,-0.0,90.0,90.0
17.83,180.0,180.0,0.0,-0.0,90.0,90.0
17.918,180.0,180.0,0.0,-0.0,90.0,90.0
18.008,180.0,180.0,0.0,-0.0,90.0,90.0
18.097,180.0,180.0,0.0,-0.0,90.0,90.0
18.187,180.0,180.0,0.0,-0.0,90.0,90.0
18.28,180.0,180.0,0.0,-0.0,90.0,90.0
18.372,180.0,180.0,0.0,-0.0,90.0,90.0
18.464000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
18.555,180.0,180.0,0.0,-0.0,90.0,90.0
18.648,180.0,180.0,0.0,-0.0,90.0,90.0
18.739,180.0,180.0,0.0,-0.0,90.0,90.0
18.831,180.0,180.0,0.0,-0.0,90.0,90.0
18.919,180.0,180.0,0.0,-0.0,90.0,90.0
19.01,180.0,180.0,0.0,-0.0,90.0,90.0
19.098,180.0,180.0,0.0,-0.0,90.0,90.0
19.188,180.0,180.0,0.0,-0.0,90.0,90.0
19.276,180.0,180.0,0.0,-0.0,90.0,90.0
19.366,180.0,180.0,0.0,-0.0,90.0,90.0
19.455,180.0,180.0,0.0,-0.0,90.0,90.0
19.545,180.0,180.0,0.0,-0.0,90.0,90.0
19.635,180.0,180.0,0.0,-0.0,90.0,90.0
19.723,180.0,180.0,0.0,-0.0,90.0,90.0
19.813,180.0,180.0,0.0,-0.0,90.0,90.0
19.902,180.0,180.0,0.0,-0.0,90.0,90.0
19.992,180.0,180.0,0.0,-0.0,90.0,90.0
20.08,180.0,180.0,0.0,-0.0,90.0,90.0
20.17,180.0,180.0,0.0,-0.0,90.0,90.0
20.258,180.0,180.0,0.0,-0.0,90.0,90.0
20.348,180.0,180.0,0.0,-0.0,90.0,90.0
20.437,180.0,180.0,0.0,-0.0,90.0,90.0
20.526999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
20.615,180.0,180.0,0.0,-0.0,90.0,90.0
20.706,180.0,180.0,0.0,-0.0,90.0,90.0
20.796,180.0,180.0,0.0,-0.0,90.0,90.0
20.884,180.0,180.0,0.0,-0.0,90.0,90.0
20.971999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
21.061999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
21.15,180.0,180.0,0.0,-0.0,90.0,90.0
21.238000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
21.328000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
21.416,180.0,180.0,0.0,-0.0,90.0,90.0
21.506,180.0,180.0,0.0,-0.0,90.0,90.0
21.595,180.0,180.0,0.0,-0.0,90.0,90.0
21.685,180.0,180.0,0.0,-0.0,90.0,90.0
21.774,180.0,180.0,0.0,-0.0,90.0,90.0
21.863000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
21.951999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
22.041999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
22.131999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
22.22,180.0,180.0,0.0,-0.0,90.0,90.0
22.31,180.0,180.0,0.0,-0.0,90.0,90.0
22.399,180.0,180.0,0.0,-0.0,90.0,90.0
