tiempo,yaw1,pitch1,roll1,yaw2,pitch2,roll2,yaw3,pitch3,roll3,yaw4,pitch4,roll4,yaw5,pitch5,roll5,yaw6,pitch6,roll6,yaw7,pitch7,roll7
188.332,0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00, -0.65,-0.42,-2.89, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.342,0.00,0.00,0.00, 0.13,-0.06,-0.81, 0.00,0.00,0.00, -0.65,-0.42,-2.89, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.352,0.00,0.00,0.00, 0.13,-0.06,-0.81, 0.00,0.00,0.00, -0.69,-0.37,-2.81, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.363,0.00,0.00,0.00, 0.29,-0.04,-1.89, 0.00,0.00,0.00, -0.69,-0.37,-2.81, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.373,0.00,0.00,0.00, 0.29,-0.04,-1.89, 0.00,0.00,0.00, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.383,0.00,0.00,0.00, 0.29,-0.04,-1.89, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.393,0.00,0.00,0.00, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.403,0.00,0.00,0.00, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.414,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.424,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.434,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.443,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.454,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.98, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
188.464,0.52,-0.03,-0.65, 0.33,-0.01,-2.17, 0.17,0.26,0.99, 0.57,-0.14,-2.31, 0.00,0.00,0.00, 0.00,0.00,0.00, 0.00,0.00,0.00
